image_number,subjects,fonds_title,creator,description,image_title,names,creation_date,image_url
EA-10-1172,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid,: BuildinBuildings - Jackson Block Banks - Canadian Bank of Commerce Business - Macdonald's Pharmacy - Edmonton Sporting Goods - Jackson Bros Jewellers Transportation - Car,Jasper Avenue & 101 Street,,1931,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3MDg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4NTY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1189,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid,: Buildings - Tegler Building - Adams Block Streets - 102 Avenue,Bicycle Races,,1915,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3MjY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY4NzQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1218,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Traffic Accident,,1918,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3NjA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY5MDg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1243,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,,Jasper Avenue & 109 Street,,1913,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3ODg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY5MzY=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1268,,Northern Alberta Pioneers and Old Timers' Association fonds,C.A. Lake,,Exhibition Parade,,1965,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4MTU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY5NjM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1295,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Street Railway Construction,,1912,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4NDU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTY5OTM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-132,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,,Edmonton - Looking East from 103 Street,,1945,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4NzM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcwMjE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-133,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,: Imperial Bank of Canada Morris Block Gallager Block LaRue & Picard Block Blowey Henry Furniture John Christie Army Goods Carey Electric Café Macdonald Hotel Streetcars Cars Horse & Wagon Trucks,Jasper Avenue looking east from 100 Street,,1920,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4ODQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcwMzI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-134,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,: Streets - 102 A Avenue - 103 Street - Buildings - Livery Sta...,Edmonton - Looking East on 102 Avenue,,1912,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4OTU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcwNDM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1358,,Northern Alberta Pioneers and Old Timers' Association fonds,W.G. Williamson,: Located at 109 Avenue & 97 Street Business - Woodland D...,Woodland Dairy,,1911,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5MTU=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcwNjI=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
